Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Angola,Benguela,92,Moderate,3,Good,12,Good,2,Good,92,Moderate
India,Bhadrak,161,Unhealthy,2,Good,109,Unhealthy for Sensitive Groups,1,Good,161,Unhealthy
Malaysia,Bidor,51,Moderate,1,Good,43,Good,0,Good,51,Moderate
Philippines,Binalbagan,75,Moderate,1,Good,18,Good,0,Good,75,Moderate
United States of America,Bismarck,40,Good,1,Good,32,Good,2,Good,40,Good
Belgium,Bocholt,37,Good,1,Good,33,Good,3,Good,37,Good
Colombia,Bogota,75,Moderate,2,Good,4,Good,8,Good,75,Moderate
Ukraine,Bohodukhiv,54,Moderate,1,Good,40,Good,2,Good,54,Moderate
United States of America,Boone,36,Good,1,Good,36,Good,4,Good,36,Good
United Kingdom of Great Britain and Northern Ireland,Bootle,65,Moderate,0,Good,33,Good,0,Good,65,Moderate
United States of America,Borger,49,Good,1,Good,30,Good,1,Good,49,Good
United States of America,Brookings,41,Good,1,Good,41,Good,2,Good,23,Good
Belgium,Buggenhout,37,Good,1,Good,28,Good,3,Good,37,Good
Burundi,Bujumbura,90,Moderate,5,Good,17,Good,2,Good,90,Moderate
South Africa,Butterworth,72,Moderate,1,Good,26,Good,2,Good,72,Moderate
Brazil,Canarana,13,Good,0,Good,12,Good,0,Good,13,Good
United States of America,Canby,36,Good,1,Good,16,Good,10,Good,36,Good
Brazil,Canguaretama,34,Good,0,Good,19,Good,1,Good,34,Good
Portugal,Caparica,39,Good,0,Good,29,Good,1,Good,39,Good
Brazil,Carauari,16,Good,1,Good,3,Good,0,Good,16,Good
Italy,Castano Primo,35,Good,1,Good,35,Good,1,Good,17,Good
Italy,Castellarano,57,Moderate,1,Good,38,Good,1,Good,57,Moderate
Italy,Castelnuovo Rangone,62,Moderate,1,Good,37,Good,2,Good,62,Moderate
United States of America,Cedar Grove,56,Moderate,1,Good,43,Good,5,Good,56,Moderate
United States of America,Sarasota,42,Good,1,Good,32,Good,8,Good,42,Good
Russian Federation,Sasovo,40,Good,1,Good,33,Good,0,Good,40,Good
Mexico,Saucillo,77,Moderate,1,Good,31,Good,0,Good,77,Moderate
Germany,Schwanewede,31,Good,0,Good,30,Good,1,Good,31,Good
United States of America,Scotts Valley,54,Moderate,1,Good,29,Good,9,Good,54,Moderate
Russian Federation,Selenginsk,39,Good,1,Good,30,Good,0,Good,39,Good
Nigeria,Shagamu,217,Very Unhealthy,12,Good,14,Good,14,Good,217,Very Unhealthy
United Arab Emirates,Sharjah,169,Unhealthy,1,Good,169,Unhealthy,3,Good,156,Unhealthy
Japan,Shinshiro,47,Good,1,Good,47,Good,1,Good,22,Good
United States of America,Shirley,42,Good,1,Good,30,Good,9,Good,42,Good
Russian Federation,Sholokhovskiy,38,Good,1,Good,38,Good,0,Good,22,Good
Italy,Silvi,68,Moderate,1,Good,34,Good,5,Good,68,Moderate
Zambia,Sinazongwe,47,Good,1,Good,13,Good,0,Good,47,Good
Madagascar,Soanierana Ivongo,24,Good,0,Good,24,Good,0,Good,11,Good
Japan,Abiko,39,Good,1,Good,39,Good,2,Good,39,Good
Mexico,Acatlan,77,Moderate,3,Good,3,Good,10,Good,77,Moderate
United Kingdom of Great Britain and Northern Ireland,Accrington,61,Moderate,0,Good,31,Good,1,Good,61,Moderate
Afghanistan,Acin,62,Moderate,0,Good,46,Good,0,Good,62,Moderate
Ghana,Aflao,77,Moderate,1,Good,23,Good,0,Good,77,Moderate
Italy,Afragola,42,Good,1,Good,42,Good,3,Good,21,Good
India,Ajaigarh,165,Unhealthy,1,Good,45,Good,0,Good,165,Unhealthy
Italy,Albignasego,47,Good,1,Good,30,Good,4,Good,47,Good
France,Alencon,48,Good,1,Good,22,Good,3,Good,48,Good
India,Allahganj,431,Hazardous,1,Good,57,Moderate,1,Good,339,Hazardous
India,Alnavar,69,Moderate,0,Good,22,Good,0,Good,69,Moderate
Mexico,Altotonga,75,Moderate,3,Good,8,Good,8,Good,75,Moderate
Spain,Ames,27,Good,0,Good,27,Good,1,Good,25,Good
Philippines,Angat,73,Moderate,1,Good,23,Good,1,Good,73,Moderate
France,Anglet,40,Good,0,Good,40,Good,0,Good,24,Good
United States of America,Anniston,42,Good,1,Good,31,Good,3,Good,42,Good
China,Anqing,201,Very Unhealthy,5,Good,201,Very Unhealthy,4,Good,154,Unhealthy
Mexico,Arandas,39,Good,1,Good,10,Good,3,Good,39,Good
France,Arcueil,55,Moderate,1,Good,18,Good,6,Good,55,Moderate
Greece,Argos,55,Moderate,1,Good,45,Good,0,Good,55,Moderate
Mexico,Sombrerete,29,Good,1,Good,16,Good,2,Good,29,Good
Viet Nam,Son La,21,Good,0,Good,20,Good,0,Good,21,Good
Brazil,Sousa,30,Good,0,Good,17,Good,0,Good,30,Good
United States of America,South Laurel,54,Moderate,1,Good,32,Good,5,Good,54,Moderate
United States of America,South Portland,49,Good,1,Good,49,Good,2,Good,38,Good
United States of America,South Yuba City,76,Moderate,2,Good,34,Good,10,Good,76,Moderate
Switzerland,Spreitenbach,35,Good,1,Good,23,Good,2,Good,35,Good
India,Srivaikuntam,42,Good,0,Good,28,Good,0,Good,42,Good
France,Stiring Wendel,26,Good,1,Good,25,Good,2,Good,26,Good
Russian Federation,Strezhevoy,30,Good,1,Good,30,Good,0,Good,21,Good
India,Sujangarh,500,Hazardous,1,Good,37,Good,0,Good,457,Hazardous
United Kingdom of Great Britain and Northern Ireland,Chester Le Street,56,Moderate,0,Good,31,Good,1,Good,56,Moderate
Pakistan,Chichawatni,439,Hazardous,1,Good,47,Good,0,Good,361,Hazardous
Peru,Chilca,92,Moderate,2,Good,16,Good,5,Good,92,Moderate
India,Chincholi,120,Unhealthy for Sensitive Groups,0,Good,30,Good,0,Good,120,Unhealthy for Sensitive Groups
Pakistan,Chor,194,Unhealthy,1,Good,41,Good,0,Good,194,Unhealthy
United States of America,Clawson,50,Good,1,Good,30,Good,7,Good,50,Good
United States of America,Cleburne,50,Good,1,Good,23,Good,3,Good,50,Good
United States of America,Cleveland Heights,42,Good,1,Good,32,Good,8,Good,42,Good
Poland,Szamotuly,51,Moderate,1,Good,34,Good,1,Good,51,Moderate
Poland,Sztum,41,Good,1,Good,34,Good,1,Good,41,Good
Tajikistan,Taboshar,130,Unhealthy for Sensitive Groups,1,Good,77,Moderate,0,Good,130,Unhealthy for Sensitive Groups
China,Taipao,201,Very Unhealthy,2,Good,201,Very Unhealthy,5,Good,134,Unhealthy for Sensitive Groups
Ghana,Tamale,56,Moderate,1,Good,17,Good,0,Good,56,Moderate
,Tammisaari,30,Good,1,Good,30,Good,1,Good,22,Good
,Tandag,38,Good,1,Good,19,Good,0,Good,38,Good
Pakistan,Tando Adam,166,Unhealthy,1,Good,44,Good,0,Good,166,Unhealthy
Morocco,Tangier,38,Good,1,Good,38,Good,2,Good,26,Good
Brazil,Taquaritinga,35,Good,1,Good,5,Good,2,Good,35,Good
France,Tarascon,45,Good,1,Good,32,Good,3,Good,45,Good
Ghana,Tarkwa,43,Good,0,Good,17,Good,0,Good,43,Good
Russian Federation,Tatarsk,37,Good,1,Good,37,Good,0,Good,27,Good
Japan,Tatebayashi,61,Moderate,1,Good,57,Moderate,2,Good,61,Moderate
Brazil,Tremembe,52,Moderate,1,Good,6,Good,4,Good,52,Moderate
Slovakia,Trencin,70,Moderate,1,Good,39,Good,1,Good,70,Moderate
Italy,Trepuzzi,45,Good,1,Good,45,Good,1,Good,32,Good
Brazil,Tres Passos,32,Good,1,Good,5,Good,3,Good,32,Good
Japan,Tsurugi,54,Moderate,1,Good,49,Good,2,Good,54,Moderate
United States of America,Tucker,88,Moderate,3,Good,12,Good,26,Good,88,Moderate
Malaysia,Tumpat,68,Moderate,2,Good,38,Good,0,Good,68,Moderate
United Republic of Tanzania,Tunduru,18,Good,0,Good,18,Good,0,Good,17,Good
Russian Federation,Ufa,40,Good,1,Good,40,Good,0,Good,36,Good
India,Unjha,165,Unhealthy,1,Good,29,Good,0,Good,165,Unhealthy
India,Usilampatti,43,Good,1,Good,29,Good,0,Good,43,Good
Russian Federation,Usman,36,Good,1,Good,36,Good,0,Good,34,Good
Russian Federation,Ussuriysk,56,Moderate,2,Good,35,Good,1,Good,56,Moderate
Japan,Uwajima,33,Good,0,Good,33,Good,0,Good,13,Good
Italy,Valeggio Sul Mincio,82,Moderate,1,Good,34,Good,4,Good,82,Moderate
Serbia,Valjevo,61,Moderate,1,Good,41,Good,0,Good,61,Moderate
Sweden,Vaxjo,41,Good,1,Good,41,Good,0,Good,25,Good
Czechia,Velke Mezirici,68,Moderate,1,Good,37,Good,1,Good,68,Moderate
Italy,Veroli,57,Moderate,1,Good,36,Good,2,Good,57,Moderate
Brazil,Vicosa,46,Good,1,Good,7,Good,3,Good,46,Good
France,Vienne,56,Moderate,1,Good,29,Good,2,Good,56,Moderate
France,Versailles,70,Moderate,2,Good,27,Good,6,Good,70,Moderate
United States of America,Acton,29,Good,1,Good,29,Good,4,Good,25,Good
Spain,Aguimes,37,Good,1,Good,37,Good,0,Good,17,Good
India,Ajmer,176,Unhealthy,1,Good,36,Good,0,Good,176,Unhealthy
Turkey,Akdagmadeni,35,Good,1,Good,35,Good,0,Good,25,Good
Cameroon,Akonolinga,66,Moderate,2,Good,23,Good,0,Good,66,Moderate
Italy,Alberobello,49,Good,1,Good,49,Good,2,Good,25,Good
Spain,Alginet,25,Good,1,Good,25,Good,1,Good,24,Good
Russian Federation,Alkhan Kala,45,Good,1,Good,35,Good,1,Good,45,Good
India,Ambala,142,Unhealthy for Sensitive Groups,2,Good,142,Unhealthy for Sensitive Groups,1,Good,134,Unhealthy for Sensitive Groups
India,Amroha,176,Unhealthy,3,Good,176,Unhealthy,1,Good,154,Unhealthy
India,Amur,150,Unhealthy,1,Good,33,Good,0,Good,150,Unhealthy
Poland,Andrychow,92,Moderate,1,Good,33,Good,4,Good,92,Moderate
Madagascar,Anjozorobe,22,Good,0,Good,22,Good,0,Good,17,Good
United States of America,Ann Arbor,48,Good,1,Good,31,Good,7,Good,48,Good
France,Annemasse,67,Moderate,1,Good,29,Good,1,Good,67,Moderate
China,Anshun,71,Moderate,4,Good,41,Good,4,Good,71,Moderate
United States of America,Ansonia,55,Moderate,2,Good,15,Good,20,Good,55,Moderate
Madagascar,Antanifotsy,23,Good,0,Good,21,Good,0,Good,23,Good
France,Apt,57,Moderate,1,Good,39,Good,3,Good,57,Moderate
Brazil,Apucarana,51,Moderate,1,Good,13,Good,1,Good,51,Moderate
Iran (Islamic Republic of),Ardistan,129,Unhealthy for Sensitive Groups,1,Good,47,Good,0,Good,129,Unhealthy for Sensitive Groups
Brazil,Ariquemes,42,Good,2,Good,1,Good,2,Good,42,Good
Russian Federation,Arkhangelsk,28,Good,1,Good,28,Good,1,Good,14,Good
United States of America,Arlington,64,Moderate,1,Good,19,Good,5,Good,64,Moderate
Ethiopia,Asayita,150,Unhealthy,1,Good,30,Good,0,Good,150,Unhealthy
India,Ashti,125,Unhealthy for Sensitive Groups,1,Good,33,Good,0,Good,125,Unhealthy for Sensitive Groups
Mexico,Autopan,87,Moderate,2,Good,10,Good,9,Good,87,Moderate
Italy,Aversa,35,Good,2,Good,35,Good,6,Good,35,Good
Paraguay,Ayolas,14,Good,1,Good,12,Good,0,Good,14,Good
Germany,Bad Krozingen,76,Moderate,2,Good,20,Good,6,Good,76,Moderate
Italy,Bagnara Calabra,67,Moderate,1,Good,39,Good,2,Good,67,Moderate
South Africa,Tembisa,219,Very Unhealthy,22,Good,11,Good,16,Good,219,Very Unhealthy
Japan,Tenno,32,Good,1,Good,32,Good,1,Good,16,Good
Netherlands,Terneuzen,38,Good,1,Good,32,Good,3,Good,38,Good
India,Tezpur,51,Moderate,2,Good,28,Good,1,Good,51,Moderate
China,Tieling,136,Unhealthy for Sensitive Groups,3,Good,136,Unhealthy for Sensitive Groups,3,Good,104,Unhealthy for Sensitive Groups
India,Tiruppur,52,Moderate,0,Good,26,Good,0,Good,52,Moderate
India,Tirur,71,Moderate,0,Good,24,Good,0,Good,71,Moderate
Philippines,Tiwi,62,Moderate,1,Good,23,Good,0,Good,62,Moderate
Japan,Tochigi,41,Good,1,Good,41,Good,2,Good,34,Good
Japan,Tomigusuku,119,Unhealthy for Sensitive Groups,2,Good,119,Unhealthy for Sensitive Groups,0,Good,76,Moderate
Hungary,Torokszentmiklos,70,Moderate,1,Good,38,Good,1,Good,70,Moderate
Denmark,Torshavn,30,Good,0,Good,30,Good,0,Good,7,Good
Turkey,Tosya,40,Good,1,Good,40,Good,0,Good,10,Good
Viet Nam,Tra Vinh,64,Moderate,1,Good,27,Good,1,Good,64,Moderate
Russian Federation,Troitskaya,41,Good,1,Good,37,Good,1,Good,41,Good
,Tual,18,Good,0,Good,18,Good,0,Good,15,Good
Romania,Tulcea,40,Good,1,Good,40,Good,0,Good,32,Good
India,Udgir,85,Moderate,0,Good,29,Good,0,Good,85,Moderate
India,Umreth,154,Unhealthy,1,Good,37,Good,0,Good,154,Unhealthy
Brazil,Una,18,Good,0,Good,14,Good,0,Good,18,Good
Japan,Ureshino,52,Moderate,1,Good,52,Moderate,0,Good,35,Good
Brazil,Uruburetama,40,Good,0,Good,17,Good,1,Good,40,Good
Russian Federation,Urzhum,33,Good,1,Good,33,Good,0,Good,28,Good
Russian Federation,Uva,37,Good,1,Good,28,Good,0,Good,37,Good
Spain,Valverde Del Camino,31,Good,1,Good,31,Good,1,Good,21,Good
India,Varanasi,184,Unhealthy,2,Good,123,Unhealthy for Sensitive Groups,1,Good,184,Unhealthy
Netherlands,Veghel,37,Good,0,Good,31,Good,2,Good,37,Good
Ecuador,Velasco Ibarra,66,Moderate,2,Good,9,Good,6,Good,66,Moderate
France,Vertou,32,Good,1,Good,26,Good,2,Good,32,Good
United States of America,Sunrise,80,Moderate,2,Good,12,Good,13,Good,80,Moderate
United States of America,Sussex,56,Moderate,2,Good,24,Good,15,Good,56,Moderate
Russian Federation,Suzdal,43,Good,1,Good,24,Good,7,Good,43,Good
United Kingdom of Great Britain and Northern Ireland,Swadlincote,48,Good,0,Good,30,Good,3,Good,48,Good
Australia,Sydney,42,Good,0,Good,15,Good,14,Good,42,Good
Tunisia,Tabulbah,71,Moderate,1,Good,71,Moderate,2,Good,70,Moderate
Japan,Takefu,43,Good,1,Good,43,Good,0,Good,22,Good
Peru,Tambo Grande,55,Moderate,1,Good,16,Good,1,Good,55,Moderate
Pakistan,Tank,170,Unhealthy,2,Good,83,Moderate,0,Good,170,Unhealthy
,Taranto,47,Good,1,Good,47,Good,3,Good,46,Good
Uzbekistan,Tashkent,86,Moderate,1,Good,71,Moderate,3,Good,86,Moderate
Argentina,Villa Carlos Paz,60,Moderate,1,Good,7,Good,11,Good,60,Moderate
South Africa,Vryburg,103,Unhealthy for Sensitive Groups,4,Good,22,Good,2,Good,103,Unhealthy for Sensitive Groups
Myanmar,Wakema,56,Moderate,0,Good,22,Good,0,Good,56,Moderate
Thailand,Wang Saphung,43,Good,0,Good,23,Good,0,Good,43,Good
United States of America,Ware,28,Good,1,Good,28,Good,4,Good,25,Good
Germany,Wassenberg,40,Good,1,Good,26,Good,3,Good,40,Good
United States of America,Weslaco,148,Unhealthy for Sensitive Groups,3,Good,15,Good,7,Good,148,Unhealthy for Sensitive Groups
United States of America,West Haven,54,Moderate,2,Good,16,Good,19,Good,54,Moderate
United States of America,West Linn,50,Good,1,Good,20,Good,11,Good,50,Good
Germany,Westerstede,36,Good,0,Good,36,Good,0,Good,34,Good
United Kingdom of Great Britain and Northern Ireland,Whitehaven,29,Good,1,Good,29,Good,2,Good,26,Good
United Kingdom of Great Britain and Northern Ireland,Wigan,33,Good,1,Good,30,Good,3,Good,33,Good
South Africa,Witbank,156,Unhealthy,3,Good,11,Good,14,Good,156,Unhealthy
Germany,Wittingen,36,Good,0,Good,34,Good,1,Good,36,Good
Belgium,Wommelgem,40,Good,1,Good,29,Good,3,Good,40,Good
United States of America,Worth,57,Moderate,2,Good,31,Good,12,Good,57,Moderate
Mexico,Xalmimilulco,326,Hazardous,4,Good,2,Good,17,Good,326,Hazardous
Thailand,Yang Talat,46,Good,0,Good,29,Good,0,Good,46,Good
Turkey,Yerkoy,40,Good,1,Good,40,Good,0,Good,24,Good
Japan,Yonago,44,Good,1,Good,44,Good,0,Good,34,Good
Russian Federation,Zelenograd,40,Good,1,Good,23,Good,7,Good,40,Good
Bosnia and Herzegovina,Zenica,50,Good,1,Good,31,Good,0,Good,50,Good
Romania,Zimnicea,51,Moderate,1,Good,35,Good,2,Good,51,Moderate
United States of America,Powder Springs,82,Moderate,3,Good,11,Good,29,Good,82,Moderate
Greece,Psikhikon,104,Unhealthy for Sensitive Groups,2,Good,41,Good,7,Good,104,Unhealthy for Sensitive Groups
Nicaragua,Puerto Cabezas,102,Unhealthy for Sensitive Groups,0,Good,22,Good,0,Good,102,Unhealthy for Sensitive Groups
Malta,Qormi,55,Moderate,1,Good,49,Good,1,Good,55,Moderate
Iran (Islamic Republic of),Quchan,86,Moderate,1,Good,40,Good,0,Good,86,Moderate
Oman,Qurayyat,155,Unhealthy,2,Good,106,Unhealthy for Sensitive Groups,1,Good,155,Unhealthy
United States of America,Radford,72,Moderate,3,Good,2,Good,13,Good,72,Moderate
France,Limay,63,Moderate,1,Good,28,Good,4,Good,63,Moderate
United Kingdom of Great Britain and Northern Ireland,Linlithgow,27,Good,1,Good,27,Good,2,Good,18,Good
Canada,Lloydminster,38,Good,1,Good,33,Good,1,Good,38,Good
Netherlands,Lochem,46,Good,1,Good,20,Good,7,Good,46,Good
Thailand,Lop Buri,47,Good,1,Good,28,Good,0,Good,47,Good
United Kingdom of Great Britain and Northern Ireland,Loughborough,36,Good,1,Good,36,Good,3,Good,16,Good
Philippines,Lumban,57,Moderate,1,Good,25,Good,2,Good,57,Moderate
Malaysia,Lumut,58,Moderate,1,Good,44,Good,1,Good,58,Moderate
China,Luzhou,155,Unhealthy,2,Good,44,Good,6,Good,155,Unhealthy
Brazil,Machado,34,Good,1,Good,5,Good,2,Good,34,Good
Venezuela (Bolivarian Republic of),Machiques,150,Unhealthy,2,Good,14,Good,4,Good,150,Unhealthy
India,Maindargi,116,Unhealthy for Sensitive Groups,1,Good,36,Good,0,Good,116,Unhealthy for Sensitive Groups
Russian Federation,Malgobek,68,Moderate,1,Good,46,Good,0,Good,68,Moderate
Kenya,Malindi,47,Good,0,Good,25,Good,0,Good,47,Good
Italy,Malo,63,Moderate,1,Good,36,Good,2,Good,63,Moderate
United States of America,Mandeville,43,Good,2,Good,40,Good,6,Good,43,Good
Philippines,Manggahan,46,Good,1,Good,26,Good,1,Good,46,Good
Malawi,Mangochi,70,Moderate,2,Good,25,Good,0,Good,70,Moderate
China,Manzhouli,38,Good,1,Good,38,Good,0,Good,38,Good
Philippines,Maragondon,30,Good,1,Good,27,Good,1,Good,30,Good
United States of America,Marana,69,Moderate,1,Good,16,Good,8,Good,69,Moderate
Brazil,Marco,25,Good,0,Good,13,Good,1,Good,25,Good
United States of America,Shiloh,53,Moderate,2,Good,33,Good,10,Good,53,Moderate
Peru,Sicuani,12,Good,0,Good,9,Good,1,Good,12,Good
Brazil,Silvania,61,Moderate,1,Good,3,Good,4,Good,61,Moderate
Afghanistan,Sindand,161,Unhealthy,1,Good,45,Good,0,Good,161,Unhealthy
Indonesia,Singaraja,48,Good,1,Good,30,Good,0,Good,48,Good
Portugal,Sintra,31,Good,1,Good,31,Good,5,Good,25,Good
Bangladesh,Sirajganj,76,Moderate,1,Good,42,Good,1,Good,76,Moderate
India,Sitarganj,117,Unhealthy for Sensitive Groups,3,Good,68,Moderate,0,Good,117,Unhealthy for Sensitive Groups
Turkey,Siverek,57,Moderate,1,Good,44,Good,0,Good,57,Moderate
United Kingdom of Great Britain and Northern Ireland,Skelmersdale,35,Good,1,Good,35,Good,3,Good,19,Good
Netherlands,Sliedrecht,39,Good,1,Good,31,Good,5,Good,39,Good
Sweden,Soderhamn,28,Good,1,Good,28,Good,0,Good,8,Good
Russian Federation,Sofrino,66,Moderate,1,Good,16,Good,12,Good,66,Moderate
Germany,Ravensburg,54,Moderate,1,Good,33,Good,3,Good,54,Moderate
Italy,Riva,63,Moderate,1,Good,24,Good,5,Good,63,Moderate
Ukraine,Rivne,35,Good,1,Good,32,Good,1,Good,35,Good
United States of America,Rockledge,60,Moderate,1,Good,23,Good,8,Good,60,Moderate
United States of America,Goldsboro,47,Good,1,Good,47,Good,1,Good,39,Good
Poland,Golub Dobrzyn,41,Good,1,Good,41,Good,0,Good,21,Good
Germany,Gorlitz,52,Moderate,1,Good,43,Good,0,Good,52,Moderate
India,Gosainganj,163,Unhealthy,4,Good,76,Moderate,5,Good,163,Unhealthy
India,Gossaigaon,136,Unhealthy for Sensitive Groups,5,Good,14,Good,8,Good,136,Unhealthy for Sensitive Groups
Mauritius,Grand Baie,61,Moderate,1,Good,27,Good,0,Good,61,Moderate
United States of America,Green River,24,Good,1,Good,21,Good,2,Good,24,Good
Ireland,Greystones,41,Good,1,Good,41,Good,0,Good,31,Good
United States of America,Grosse Pointe Park,57,Moderate,1,Good,35,Good,1,Good,57,Moderate
Italy,Grumo Nevano,72,Moderate,1,Good,72,Moderate,0,Good,57,Moderate
India,Gulabpura,164,Unhealthy,1,Good,27,Good,4,Good,164,Unhealthy
Romania,Gura Humorului,56,Moderate,1,Good,42,Good,0,Good,56,Moderate
India,Gurgaon,191,Unhealthy,7,Good,46,Good,20,Good,191,Unhealthy
Armenia,Gyumri,75,Moderate,1,Good,39,Good,0,Good,75,Moderate
United States of America,Hasbrouck Heights,53,Moderate,1,Good,40,Good,4,Good,53,Moderate
United States of America,Hattiesburg,48,Good,1,Good,46,Good,1,Good,48,Good
Netherlands,Hendrik Ido Ambacht,39,Good,1,Good,39,Good,1,Good,33,Good
United States of America,Hilton Head Island,97,Moderate,2,Good,97,Moderate,2,Good,41,Good
United States of America,Hingham,42,Good,1,Good,37,Good,2,Good,42,Good
Japan,Hirado,50,Good,1,Good,50,Good,2,Good,50,Good
Denmark,Holstebro,44,Good,1,Good,44,Good,0,Good,14,Good
Czechia,Hranice,72,Moderate,1,Good,45,Good,0,Good,72,Moderate
China,Huangmei,165,Unhealthy,9,Good,6,Good,22,Good,165,Unhealthy
Belgium,Ieper,38,Good,1,Good,37,Good,1,Good,38,Good
Nigeria,Igboho,66,Moderate,1,Good,37,Good,0,Good,66,Moderate
Brazil,Irece,22,Good,0,Good,22,Good,0,Good,15,Good
Japan,Ishige,75,Moderate,1,Good,21,Good,17,Good,75,Moderate
Japan,Ishioka,62,Moderate,1,Good,25,Good,9,Good,62,Moderate
France,Istres,48,Good,1,Good,48,Good,2,Good,38,Good
Brazil,Itupeva,26,Good,0,Good,25,Good,0,Good,26,Good
,Izumiotsu,75,Moderate,2,Good,26,Good,11,Good,75,Moderate
Bangladesh,Jhikargachha,100,Unhealthy for Sensitive Groups,2,Good,25,Good,7,Good,100,Unhealthy for Sensitive Groups
China,Jianhu,166,Unhealthy,7,Good,25,Good,30,Good,166,Unhealthy
Czechia,Jicin,60,Moderate,1,Good,43,Good,0,Good,60,Moderate
Turkey,Kahta,53,Moderate,1,Good,45,Good,0,Good,53,Moderate
United Republic of Tanzania,Kakonko,31,Good,1,Good,25,Good,0,Good,31,Good
Russian Federation,Kalachinsk,28,Good,1,Good,28,Good,1,Good,24,Good
Democratic Republic of the Congo,Kalemie,93,Moderate,2,Good,29,Good,1,Good,93,Moderate
India,Kalinagar,150,Unhealthy,3,Good,25,Good,6,Good,150,Unhealthy
Democratic Republic of the Congo,Kamina,86,Moderate,2,Good,43,Good,1,Good,86,Moderate
Iran (Islamic Republic of),Kangavar,113,Unhealthy for Sensitive Groups,1,Good,37,Good,0,Good,113,Unhealthy for Sensitive Groups
United States of America,Kansas City,54,Moderate,1,Good,46,Good,2,Good,54,Moderate
Japan,Kanzaki,48,Good,1,Good,48,Good,3,Good,33,Good
Poland,Karczew,41,Good,1,Good,41,Good,1,Good,32,Good
India,Kasrawad,161,Unhealthy,2,Good,18,Good,5,Good,161,Unhealthy
Russian Federation,Kasumkent,67,Moderate,1,Good,32,Good,0,Good,67,Moderate
Uganda,Kayunga,113,Unhealthy for Sensitive Groups,3,Good,14,Good,1,Good,113,Unhealthy for Sensitive Groups
Brazil,Telemaco Borba,24,Good,0,Good,16,Good,0,Good,24,Good
Austria,Telfs,51,Moderate,1,Good,47,Good,0,Good,51,Moderate
Spain,Teo,31,Good,1,Good,31,Good,1,Good,15,Good
Mexico,Teolocholco,195,Unhealthy,1,Good,34,Good,3,Good,195,Unhealthy
Russian Federation,Terek,41,Good,1,Good,41,Good,2,Good,34,Good
Thailand,Thoen,39,Good,1,Good,9,Good,1,Good,39,Good
Canada,Tilsonburg,32,Good,1,Good,32,Good,0,Good,31,Good
India,Tirthahalli,49,Good,1,Good,14,Good,3,Good,49,Good
Mexico,Tlaltizapan,98,Moderate,2,Good,33,Good,3,Good,98,Moderate
Mexico,Tlaxco,207,Very Unhealthy,1,Good,33,Good,3,Good,207,Very Unhealthy
Italy,Tolmezzo,68,Moderate,1,Good,40,Good,0,Good,68,Moderate
India,Tonk,191,Unhealthy,3,Good,36,Good,7,Good,191,Unhealthy
Brazil,Torres,24,Good,0,Good,21,Good,0,Good,24,Good
Mexico,Trancoso,31,Good,0,Good,28,Good,0,Good,31,Good
Philippines,Tuba,55,Moderate,1,Good,25,Good,5,Good,55,Moderate
India,Tumkur,63,Moderate,1,Good,17,Good,4,Good,63,Moderate
United Republic of Tanzania,Tunduma,22,Good,0,Good,22,Good,0,Good,19,Good
South Africa,Tzaneen,55,Moderate,1,Good,26,Good,1,Good,55,Moderate
Germany,Ueckermunde,40,Good,1,Good,40,Good,0,Good,19,Good
India,Ulubaria,188,Unhealthy,7,Good,12,Good,18,Good,188,Unhealthy
Sudan,Umm Ruwabah,110,Unhealthy for Sensitive Groups,1,Good,49,Good,0,Good,110,Unhealthy for Sensitive Groups
Japan,Ushibuka,42,Good,1,Good,39,Good,2,Good,42,Good
France,Valenciennes,54,Moderate,1,Good,41,Good,1,Good,54,Moderate
Ukraine,Valky,44,Good,1,Good,44,Good,0,Good,29,Good
India,Valsad,79,Moderate,1,Good,18,Good,1,Good,79,Moderate
Russian Federation,Varenikovskaya,42,Good,1,Good,42,Good,0,Good,11,Good
Sweden,Vastervik,38,Good,1,Good,38,Good,0,Good,9,Good
Italy,Vasto,69,Moderate,1,Good,52,Moderate,0,Good,69,Moderate
Netherlands,Veere,37,Good,1,Good,37,Good,0,Good,29,Good
Italy,Vercelli,82,Moderate,1,Good,71,Moderate,0,Good,82,Moderate
France,Verdun,69,Moderate,1,Good,50,Good,0,Good,69,Moderate
Italy,Solofra,68,Moderate,1,Good,68,Moderate,0,Good,54,Moderate
United Republic of Tanzania,Songea,21,Good,0,Good,20,Good,0,Good,21,Good
India,Soron,165,Unhealthy,5,Good,10,Good,43,Good,165,Unhealthy
United States of America,South El Monte,109,Unhealthy for Sensitive Groups,3,Good,21,Good,24,Good,109,Unhealthy for Sensitive Groups
Netherlands,Spijkenisse,37,Good,1,Good,37,Good,1,Good,30,Good
Italy,Spilamberto,59,Moderate,1,Good,59,Moderate,0,Good,59,Moderate
Austria,Spittal,59,Moderate,1,Good,42,Good,0,Good,59,Moderate
India,Srisailam,119,Unhealthy for Sensitive Groups,2,Good,38,Good,4,Good,119,Unhealthy for Sensitive Groups
United States of America,Stony Brook,57,Moderate,1,Good,48,Good,4,Good,57,Moderate
